Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
0,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,2.080168776371308,1896|342|2|790|90|578|81|6|1|6|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|,937|157|1|389|41|298|46|2|1|2|,959|185|1|401|49|280|35|4|0|4|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,902|151|1|373|38|291|44|1|1|2|,922|176|1|384|46|272|35|4|0|4|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1824,72,228,80220|15850|0|36830|2125|23140|2275|0|0|0|,77011|15216|0|35357|2040|22214|2184|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,9.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|,1896|342|2|790|90|578|81|6|1|6|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,5105|976|2|2263|175|1504|172|6|1|6|,0|0|0|0|0|0|0|0|0|0|,5105|976|2|2263|175|1504|172|6|1|6|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,1161|110|177|248|49|105|73|112|113|174|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,3944|776|0|1795|130|1108|135|0|0|0|,0|0|0|0|0|0|0|0|0|0|,3944|776|0|1795|130|1108|135|0|0|0|,117|41|28|93|73|58|71|42|23|43|,0.6303010263350655|0.3654717324500335|0.3214285714285714|0.6223318721816559|0.5647134038800705|0.5113202924157654|0.5113440895333902|0.45138888888888895|0.3214285714285714|0.4900793650793651|,0.5343957203134418|0.364452798663325|0.4642857142857143|0.6244122965641953|0.5650793650793651|0.5102570439940682|0.5220458553791887|0.5|0.6428571428571429|0.44047619047619047|,0.2444620253164557,0.1305379746835443,0.0234704641350211,0.03955696202531646,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1896|342|2|790|90|578|81|6|1|6|,776|0|1795|130|1108|135|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,142|0|322|45|182|44|0|0|0|,0|0|0|0|0|0|0|0|0|,1,1,0,0,1,1
1,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.44954361054766734,3944|776|0|1795|130|1108|135|0|0|0|,0.0|nan|0.0|0.0|0.0|0.0|nan|nan|nan|,0.0|nan|0.0|0.0|0.0|0.0|nan|nan|nan|,1982|404|0|907|55|551|65|0|0|0|,1962|372|0|888|75|557|70|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,368|73|0|165|20|84|26|0|0|0|,367|69|0|157|25|98|18|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,735,3209,90,30915|7725|0|14360|1400|4430|3000|0|0|0|,29677|7416|0|13785|1344|4252|2880|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,3944|776|0|1795|130|1108|135|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,5182|1085|0|2370|186|1286|255|0|0|0|,0|0|0|0|0|0|0|0|0|0|,5182|1085|0|2370|186|1286|255|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,3409|441|405|1064|98|435|173|262|209|322|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,1773|411|0|811|83|323|145|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1773|411|0|811|83|323|145|0|0|0|,116|79|0|97|81|91|94|0|0|0|,0.6297654815930707|0.42484678186159164|0.0|0.6226682864702433|0.5754775993237532|0.531446424149558|0.5577346658828142|0.0|0.0|0.0|,0.5363662706461895|0.3855854197349043|0.0|0.620175089534421|0.5587912087912088|0.5069623517276947|0.5084656084656085|0.0|0.0|0.0|,0.2525354969574036,0.12893002028397565,0.020157200811359025,0.03473630831643002,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3944|776|0|1795|130|1108|135|0|0|0|,411|0|811|83|323|145|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,102|0|236|27|145|25|0|0|0|,0|0|0|0|0|0|0|0|0|,0,0,0,3,1,2
2,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.290468133107727,1773|411|0|811|83|323|145|0|0|0|,0.0|nan|0.0|0.0|0.0|0.0|nan|nan|nan|,0.0|nan|0.0|0.0|0.0|0.0|nan|nan|nan|,923|216|0|422|39|172|74|0|0|0|,850|195|0|389|44|151|71|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,272|52|0|121|10|77|12|0|0|0|,263|50|0|115|17|68|13|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,535,1238,60,3070|825|0|1215|400|270|360|0|0|0|,2948|792|0|1167|384|259|346|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,1773|411|0|811|83|323|145|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1895|444|0|859|99|334|159|0|0|0|,0|0|0|0|0|0|0|0|0|0|,1895|444|0|859|99|334|159|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,1380|162|175|391|56|133|130|111|80|142|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,515|111|0|230|40|97|37|0|0|0|,0|0|0|0|0|0|0|0|0|0|,515|111|0|230|40|97|37|0|0|0|,113|77|0|95|80|84|94|0|0|0|,0.6293535409225928|0.4354873833668652|0.0|0.6203183308076567|0.5813149327084586|0.5487828339743914|0.5474706981484632|0.0|0.0|0.0|,0.5307791475304166|0.3825165102537365|0.0|0.6170512594680289|0.5783132530120482|0.5002211410880142|0.50935960591133|0.0|0.0|0.0|,0.24591088550479415,0.12239142695995488,0.026790750141003947,0.04230118443316413,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1773|411|0|811|83|323|145|0|0|0|,111|0|230|40|97|37|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,78|0|182|24|86|23|0|0|0|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,1
3,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.6718446601941748,515|111|0|230|40|97|37|0|0|0|,0.0|nan|0.0|0.0|0.0|0.0|nan|nan|nan|,0.0|nan|0.0|0.0|0.0|0.0|nan|nan|nan|,259|51|0|115|16|54|23|0|0|0|,256|60|0|115|24|43|14|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,202|33|0|96|10|49|14|0|0|0|,191|45|0|86|14|37|9|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,393,122,49,3175|500|0|1775|0|900|0|0|0|0|,3048|480|0|1704|0|864|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,515|111|0|230|40|97|37|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,642|131|0|301|40|133|37|0|0|0|,0|0|0|0|0|0|0|0|0|0|,642|131|0|301|40|133|37|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,296|24|53|65|22|24|23|26|20|39|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,346|56|0|173|16|79|20|2|0|0|,0|0|0|0|0|0|0|0|0|0|,346|56|0|173|16|79|20|2|0|0|,112|81|0|100|76|76|89|0|0|0|,0.6292208771528218|0.5059132491564924|0.0|0.6199075074264111|0.5912946428571431|0.5643115254391691|0.582046332046332|0.0|0.0|0.0|,0.534119278779473|0.42535392535392536|0.0|0.6111801242236025|0.5535714285714286|0.4631811487481591|0.5463320463320464|0.0|0.0|0.0|,0.24271844660194175,0.11553398058252427,0.02912621359223301,0.038834951456310676,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515|111|0|230|40|97|37|0|0|0|,56|0|173|16|79|20|2|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,36|0|102|16|43|20|2|0|0|,0|0|0|0|0|0|0|0|0|,1,0,0,0,1,1
4,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.6878612716763006,346|56|0|173|16|79|20|2|0|0|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|nan|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|nan|,180|28|0|96|8|38|10|0|0|0|,166|28|0|77|8|41|10|2|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,114|17|0|56|8|23|10|0|0|0|,105|19|0|46|8|20|10|2|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,219,127,31,1825|0|0|1200|250|150|225|0|0|0|,1752|0|0|1152|240|144|216|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,346|56|0|173|16|79|20|2|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,419|56|0|221|26|85|29|2|0|0|,0|0|0|0|0|0|0|0|0|0|,419|56|0|221|26|85|29|2|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,181|13|33|50|3|19|12|11|24|16|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,238|27|0|123|19|36|27|4|0|2|,0|0|0|0|0|0|0|0|0|0|,238|27|0|123|19|36|27|4|0|2|,110|69|0|99|68|74|82|36|0|0|,0.6302684209772653|0.5003872084548104|0.0|0.6214004095406748|0.5810546875|0.5620894087485978|0.6019642857142857|0.5089285714285714|0.0|0.0|,0.5363336085879439|0.413265306122449|0.0|0.6151940545004129|0.5446428571428571|0.4593128390596745|0.4928571428571429|0.5714285714285714|0.0|0.0|,0.24277456647398843,0.11849710982658959,0.030346820809248554,0.030346820809248554,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346|56|0|173|16|79|20|2|0|0|,27|0|123|19|36|27|4|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,27|0|75|9|30|18|4|0|2|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
5,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.7647058823529411,238|27|0|123|19|36|27|4|0|2|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,116|11|0|64|7|15|14|3|0|2|,122|16|0|59|12|21|13|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,81|11|0|39|3|13|10|3|0|2|,84|16|0|36|6|17|8|1|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,165,73,17,1595|435|0|360|0|800|0|0|0|0|,1530|417|0|345|0|768|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,238|27|0|123|19|36|27|4|0|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,303|45|0|138|19|68|27|4|0|2|,0|0|0|0|0|0|0|0|0|0|,303|45|0|138|19|68|27|4|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,121|6|31|30|8|3|6|16|16|5|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,182|36|0|71|10|49|11|1|0|4|,0|0|0|0|0|0|0|0|0|0|,182|36|0|71|10|49|11|1|0|4|,110|74|0|97|63|69|83|38|0|34|,0.6323277210043681|0.5620713305898493|0.0|0.6162171987573534|0.5623268698060941|0.5588899911816578|0.6105722124240645|0.4709821428571429|0.0|0.4642857142857143|,0.5474189675870348|0.4365079365079365|0.0|0.6039488966318235|0.5714285714285714|0.4623015873015873|0.5158730158730159|0.4642857142857143|0.0|0.4642857142857143|,0.2605042016806723,0.11764705882352941,0.014705882352941176,0.02100840336134454,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238|27|0|123|19|36|27|4|0|2|,36|0|71|10|49|11|1|0|4|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,18|0|56|10|17|11|1|0|4|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
6,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.0879120879120878,182|36|0|71|10|49|11|1|0|4|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,86|18|0|37|5|20|5|1|0|0|,96|18|0|34|5|29|6|0|0|4|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,56|9|0|29|5|7|5|1|0|0|,61|9|0|27|5|10|6|0|0|4|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,117,65,18,2660|0|0|2480|0|180|0|0|0|0|,2554|0|0|2381|0|173|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,182|36|0|71|10|49|11|1|0|4|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,288|36|0|170|10|56|11|1|0|4|,0|0|0|0|0|0|0|0|0|0|,288|36|0|170|10|56|11|1|0|4|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,90|7|13|11|2|18|5|7|8|19|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,198|11|0|138|8|27|10|2|0|2|,0|0|0|0|0|0|0|0|0|0|,198|11|0|138|8|27|10|2|0|2|,104|70|0|92|56|61|73|19|0|47|,0.6227789086894269|0.4983465608465609|0.0|0.6170261002635532|0.5460714285714285|0.5406973284940798|0.6106847697756788|0.1785714285714286|0.0|0.5401785714285714|,0.5176609105180534|0.4087301587301587|0.0|0.596579476861167|0.5285714285714286|0.49271137026239065|0.512987012987013|0.35714285714285715|0.0|0.42857142857142855|,0.22802197802197802,0.10989010989010989,0.019230769230769232,0.024725274725274724,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182|36|0|71|10|49|11|1|0|4|,11|0|138|8|27|10|2|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,11|0|39|8|20|10|2|0|2|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
7,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.5505050505050505,198|11|0|138|8|27|10|2|0|2|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,90|3|0|61|5|13|6|1|0|1|,108|8|0|77|3|14|4|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,46|3|0|20|5|10|6|1|0|1|,46|8|0|19|3|10|4|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,92,106,10,680|0|0|180|0|500|0|0|0|0|,653|0|0|173|0|480|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,198|11|0|138|8|27|10|2|0|2|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,225|11|0|145|8|47|10|2|0|2|,0|0|0|0|0|0|0|0|0|0|,225|11|0|145|8|47|10|2|0|2|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,116|7|35|50|2|4|2|8|5|3|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,109|9|0|52|6|29|9|3|0|1|,0|0|0|0|0|0|0|0|0|0|,109|9|0|52|6|29|9|3|0|1|,105|61|0|96|54|62|71|33|0|30|,0.6334694346057982|0.5708382526564345|0.0|0.6230458787169562|0.5407366071428572|0.5439937291789145|0.620357142857143|0.4464285714285714|0.0|0.4017857142857143|,0.577922077922078|0.5064935064935064|0.0|0.6159420289855072|0.5625|0.4470899470899471|0.5714285714285714|0.4642857142857143|0.0|0.32142857142857145|,0.25757575757575757,0.12878787878787878,0.0025252525252525255,0.015151515151515152,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198|11|0|138|8|27|10|2|0|2|,9|0|52|6|29|9|3|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,9|0|45|6|9|9|3|0|1|,0|0|0|0|0|0|0|0|0|,0,0,0,1,0,0
8,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,0.7064220183486238,109|9|0|52|6|29|9|3|0|1|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,0.0|nan|0.0|0.0|0.0|0.0|0.0|nan|0.0|,49|5|0|20|4|14|4|2|0|0|,60|4|0|32|2|15|5|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,37|5|0|17|4|5|4|2|0|0|,45|4|0|28|2|4|5|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,82,27,5,500|0|0|250|0|250|0|0|0|0|,480|0|0|240|0|240|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,109|9|0|52|6|29|9|3|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,129|9|0|62|6|39|9|3|0|1|,0|0|0|0|0|0|0|0|0|0|,129|9|0|62|6|39|9|3|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,52|7|9|10|1|5|1|3|8|8|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,77|10|1|35|5|15|9|1|0|1|,0|0|0|0|0|0|0|0|0|0|,77|10|1|35|5|15|9|1|0|1|,100|58|0|86|50|62|68|41|0|18|,0.6336858369305134|0.5524691358024694|0.0|0.6270076077768385|0.538690476190476|0.5120180057754373|0.6009700176366846|0.47619047619047616|0.0|0.1428571428571429|,0.564875491480996|0.49206349206349204|0.0|0.6208791208791209|0.5476190476190477|0.5197044334975369|0.5317460317460317|0.47619047619047616|0.0|0.2857142857142857|,0.25688073394495414,0.1651376146788991,0.0,0.01834862385321101,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109|9|0|52|6|29|9|3|0|1|,10|1|35|5|15|9|1|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,10|1|25|5|5|9|1|0|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
9,3787.0|683.0|3.0|1579.0|180.0|1156.0|162.0|11.0|2.0|11.0|,1.4025974025974026,77|10|1|35|5|15|9|1|0|1|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|nan|0.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|nan|0.0|,33|5|0|15|3|5|3|1|0|1|,44|5|1|20|2|10|6|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,23|5|0|9|3|1|3|1|0|1|,34|5|1|16|2|4|6|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,57,20,5,1600|0|0|600|400|0|600|0|0|0|,1536|0|0|576|384|0|576|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,77|10|1|35|5|15|9|1|0|1|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,141|10|1|59|21|15|33|1|0|1|,0|0|0|0|0|0|0|0|0|0|,141|10|1|59|21|15|33|1|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|,33|2|3|9|0|3|0|4|6|6|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,108|5|1|46|20|4|29|2|0|1|,0|0|0|0|0|0|0|0|0|0|,108|5|1|46|20|4|29|2|0|1|,97|59|22|82|48|59|68|17|0|19|,0.6252138399633762|0.5353571428571426|0.2857142857142857|0.6196209912536443|0.5314285714285716|0.5047619047619047|0.6221340388007057|0.1071428571428571|0.0|0.1785714285714286|,0.5528756957328386|0.5142857142857142|0.5714285714285714|0.6122448979591837|0.5571428571428572|0.46190476190476193|0.5714285714285714|0.21428571428571427|0.0|0.35714285714285715|,0.2727272727272727,0.14935064935064934,0.0,0.012987012987012988,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77|10|1|35|5|15|9|1|0|1|,5|1|46|20|4|29|2|0|1|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|0|,5|1|22|4|4|5|2|0|1|,0|0|0|0|0|0|0|0|0|,0,0,0,0,0,0
